	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
18449	18810	19251	19810	20690	25557	AT5G50070	0.0	0.0	1.0	2.584962500721156	1.0	1.0	0.0	1.584962500721156	3
18485	18847	19288	19849	20730	25612	AT5G50540	1.0	0.0	1.0	2.584962500721156	1.0	1.584962500721156	0.0	0.0	3
18530	18893	19335	19897	20781	25687	AT5G51270	0.0	1.0	1.584962500721156	0.0	1.0	0.0	1.584962500721156	1.0	3
18590	18954	19397	19961	20848	25768	AT5G52020	2.0	2.584962500721156	1.0	0.0	0.0	1.584962500721156	2.807354922057604	0.0	3
18614	18979	19422	19986	20874	25803	AT5G52340	1.0	0.0	2.0	1.584962500721156	2.0	1.584962500721156	0.0	0.0	3
18618	18983	19426	19990	20879	25809	AT5G52400	1.0	1.0	0.0	1.584962500721156	0.0	0.0	2.584962500721156	1.0	3
18653	19018	19461	20027	20917	25858	AT5G52860	1.0	0.0	1.584962500721156	1.0	0.0	0.0	1.584962500721156	1.0	3
18722	19087	19531	20097	20992	25949	AT5G53710	2.0	2.0	4.459431618637297	0.0	3.0	0.0	3.0	0.0	3
18792	19159	19604	20175	21075	26061	AT5G54700	1.584962500721156	2.3219280948873617	1.0	0.0	2.0	0.0	2.0	0.0	3
18820	19187	19633	20204	21105	26095	AT5G55020	1.0	1.0	0.0	2.0	1.0	0.0	0.0	3.584962500721156	3
18848	19216	19663	20235	21138	26139	AT5G55440	1.0	2.584962500721156	1.0	0.0	2.584962500721156	0.0	1.0	0.0	3
18931	19302	19751	20328	21235	26262	AT5G56555	1.584962500721156	1.0	2.807354922057604	0.0	2.3219280948873617	3.0	0.0	0.0	3
18957	19328	19777	20354	21262	26295	AT5G56880	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	3
19013	19385	19834	20412	21322	26360	AT5G57510	0.0	1.584962500721156	1.584962500721156	0.0	1.584962500721156	0.0	1.584962500721156	1.0	3
19034	19406	19855	20435	21345	26392	AT5G57785	0.0	1.0	0.0	1.0	1.584962500721156	1.0	0.0	1.0	3
19037	19409	19858	20438	21348	26395	AT5G57810	1.0	1.584962500721156	0.0	0.0	2.0	1.0	2.3219280948873617	0.0	3
19063	19437	19887	20468	21378	26426	AT5G58080	0.0	0.0	1.584962500721156	1.0	1.0	1.584962500721156	1.0	0.0	3
19115	19489	19940	20521	21432	26484	AT5G58630	1.584962500721156	1.0	1.0	0.0	1.584962500721156	0.0	1.0	0.0	3
19171	19545	19997	20582	21495	26564	AT5G59390	0.0	2.0	2.584962500721156	0.0	3.0	1.0	1.0	0.0	3
19181	19555	20007	20592	21505	26574	AT5G59490	1.0	2.807354922057604	1.584962500721156	0.0	2.0	0.0	1.584962500721156	0.0	3
19183	19557	20009	20594	21507	26576	AT5G59510	0.0	1.0	1.0	0.0	2.0	1.584962500721156	1.0	0.0	3
19386	19764	20221	20807	21728	26839	AT5G62040	1.0	1.584962500721156	3.9068905956085187	0.0	2.584962500721156	2.3219280948873617	0.0	0.0	3
19409	19788	20247	20833	21755	26875	AT5G62380	1.0	1.0	3.700439718141092	0.0	0.0	1.584962500721156	1.584962500721156	0.0	3
19461	19840	20301	20887	21812	26939	AT5G62998	0.0	0.0	1.0	0.0	2.584962500721156	1.584962500721156	1.0	1.0	3
19658	20039	20501	21095	22025	27166	AT5G65130	0.0	0.0	2.3219280948873617	0.0	2.3219280948873617	1.584962500721156	1.0	1.0	3
19703	20086	20550	21147	22078	27221	AT5G65613	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	3
19774	20157	20622	21220	22154	27301	AT5G66335	0.0	1.0	2.0	2.0	2.0	1.584962500721156	0.0	0.0	3
19808	20191	20657	21256	22190	27339	AT5G66670	0.0	0.0	0.0	2.807354922057604	2.584962500721156	1.0	1.0	2.3219280948873617	3
19821	20205	20671	21271	22206	27358	AT5G66830	0.0	1.0	1.584962500721156	1.0	2.0	1.584962500721156	0.0	0.0	3
19870	20256	20724	21326	22266	27423	AT5G67430	1.0	1.584962500721156	1.0	0.0	1.584962500721156	0.0	0.0	1.584962500721156	3
19962	20348	20818	21420	22360	27524	ATCG01120	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3
19978	20365	20836	21441	22383	27572	ATMG00513	0.0	0.0	0.0	1.584962500721156	1.0	1.0	2.0	3.3219280948873617	3
19992	20380	20851	21459	22401	27613	ATMG00960	1.584962500721156	2.3219280948873617	0.0	2.0	1.0	0.0	0.0	2.584962500721156	3
