	Unnamed: 0	Genes	SRR3383640	SRR3383821	SRR3383782	SRR6283145	SRR3383641	SRR3383783	SRR3383822	SRR6283144	zero-counter
2287	2648	AT1G26670	10.200898605038443	9.86573327085176	11.674192268145685	10.721099188707186	11.36796070964157	10.898601387403936	9.303780748177102	10.970105890612183	0
2289	2650	AT1G26690	7.774787059601174	8.888743248898258	8.204571144249204	7.219168520462161	8.741466986401146	7.257387842692652	7.807354922057604	7.467605550082997	0
2290	2654	AT1G26730	5.832890014164741	6.0223678130284535	7.055282435501192	6.108524456778167	7.383704292474053	6.266786540694902	6.129283016944966	5.672425341971495	0
2291	2655	AT1G26740	6.0	7.098032082960527	6.832890014164741	7.159871336778389	7.076815597050833	5.807354922057604	6.0443941193584525	7.066089190457772	0
2292	2656	AT1G26750	6.918863237274595	7.60733031374961	7.90086680798075	7.129283016944966	7.851749041416057	6.491853096329675	6.918863237274595	6.894817763307944	0
2293	2657	AT1G26760	2.0	1.584962500721156	3.0	0.0	2.0	0.0	1.0	0.0	3
2294	2658	AT1G26761	7.857980995127572	8.566054038171092	9.94982671075911	6.475733430966398	9.154818109052103	8.873444112515378	8.353146825498081	5.28540221886225	0
2295	2659	AT1G26762	1.0	0.0	2.584962500721156	0.0	0.0	2.0	0.0	0.0	5
2296	2660	AT1G26770	5.169925001442311	1.584962500721156	6.832890014164741	4.087462841250339	4.807354922057604	5.321928094887364	3.4594316186372973	2.0	0
2297	2663	AT1G26790	0.0	0.0	11.181152256865566	0.0	1.0	10.291170699321858	1.584962500721156	0.0	4
2298	2669	AT1G26800	6.442943495848727	9.31741261376487	6.930737337562888	8.204571144249204	8.159871336778389	6.0443941193584525	8.622051819456376	8.252665432450247	0
2299	2670	AT1G26810	5.672425341971495	5.392317422778762	7.055282435501192	4.087462841250339	6.523561956057013	5.523561956057013	5.20945336562895	3.3219280948873617	0
2300	2672	AT1G26820	3.807354922057604	4.0	4.523561956057013	3.0	2.3219280948873617	4.0	3.0	3.169925001442312	0
2301	2673	AT1G26830	9.560332834212444	10.105908508571158	10.714245517666123	10.663558104217273	10.510764167917893	9.727920454563199	9.346513733165636	10.816183681432342	0
2302	2674	AT1G26840	4.321928094887364	3.584962500721156	4.754887502163468	3.169925001442312	4.700439718141092	3.807354922057604	3.4594316186372973	2.584962500721156	0
2303	2675	AT1G26850	10.696967526234287	10.896332403909938	11.85914649542596	11.26795708440284	11.491352073563435	10.662668375517539	10.274960472140602	11.095397022792556	0
2304	2677	AT1G26880	8.400879436282183	8.527477006060396	9.786269627648467	9.403012023574997	9.461479447286157	8.335390354693924	7.787902559391433	8.912889336229961	0
2305	2678	AT1G26890	2.0	2.584962500721156	1.584962500721156	2.0	2.584962500721156	1.584962500721156	0.0	2.0	1
2306	2679	AT1G26900	5.20945336562895	5.614709844115208	5.584962500721158	5.754887502163467	6.066089190457772	4.807354922057604	4.857980995127573	5.8826430493618425	0
2307	2680	AT1G26910	4.523561956057013	4.700439718141092	5.977279923499918	5.8826430493618425	5.491853096329675	4.700439718141092	4.459431618637297	5.1292830169449655	0
2308	2681	AT1G26920	7.294620748891628	8.262094845370179	8.588714635582264	8.89178370321831	8.204571144249204	7.658211482751795	8.113742166049189	9.0	0
2309	2683	AT1G26930	4.954196310386875	6.22881869049588	6.6293566200796095	6.569855608330947	6.442943495848727	5.614709844115208	4.906890595608519	6.930737337562888	0
2310	2684	AT1G26940	6.672425341971495	7.0	7.546894459887638	7.7073591320808825	7.651051691178927	6.409390936137703	6.584962500721158	7.658211482751795	0
2311	2685	AT1G26945	5.392317422778762	5.8826430493618425	7.055282435501192	5.044394119358453	5.491853096329675	6.0223678130284535	5.78135971352466	4.392317422778762	0
2312	2686	AT1G26960	7.348728154231077	7.60733031374961	8.63662462054365	5.672425341971495	8.303780748177102	8.005624549193879	6.129283016944966	6.0	0
2313	2687	AT1G26970	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	6
2314	2688	AT1G26976	0.0	0.0	1.584962500721156	0.0	0.0	1.0	0.0	0.0	6
2315	2689	AT1G27000	9.398743691938193	10.014020470314932	10.411510988012072	10.517669388133813	10.497851836951117	9.569855608330947	9.111135670234708	10.672425341971497	0
2317	2691	AT1G27020	10.52552080909507	8.939579214314692	10.273795599214264	14.214622686302334	13.023061249735337	9.888743248898258	6.321928094887363	14.403944040153599	0
2318	2692	AT1G27030	7.813781191217037	8.144658242831882	8.199672344836364	7.3750394313469245	8.312882955284357	7.475733430966398	7.982993574694309	8.03342300153745	0
2320	2694	AT1G27045	3.9068905956085187	2.584962500721156	5.392317422778762	3.9068905956085187	5.584962500721158	5.321928094887364	2.807354922057604	3.169925001442312	0
2321	2695	AT1G27050	5.643856189774724	6.426264754702097	7.78135971352466	7.491853096329675	6.754887502163467	6.569855608330947	6.247927513443584	6.658211482751795	0
2322	2696	AT1G27060	6.22881869049588	7.011227255423254	7.693486957499325	6.807354922057604	7.2761244052742375	6.554588851677637	5.554588851677637	6.475733430966398	0
2323	2697	AT1G27070	7.5774288280357505	7.531381460516312	8.800899899920305	8.184875342908283	8.727920454563199	7.851749041416057	6.954196310386875	7.918863237274595	0
2324	2698	AT1G27080	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	5
2325	2699	AT1G27090	9.791162888555018	10.767356854125683	11.154185209265297	12.774787059601175	10.717676423066397	9.988684686772164	10.167418145831736	13.073806847178492	0
2326	2700	AT1G27100	9.583082767502932	9.991521846075695	10.560332834212444	10.593391122791736	10.670656249118439	9.870364719583405	9.306061689428342	11.062720767165043	0
2327	2701	AT1G27110	4.247927513443585	4.906890595608519	4.169925001442312	2.3219280948873617	5.169925001442311	3.9068905956085187	4.459431618637297	1.584962500721156	0
2328	2702	AT1G27120	6.6865005271832185	6.599912842187128	9.430452551665534	4.906890595608519	7.228818690495879	7.994353436858858	6.754887502163467	3.584962500721156	0
2329	2703	AT1G27130	9.78463484555752	10.091435386323607	10.782179193831208	8.599912842187129	11.11504365016171	10.00562454919388	9.744833837499543	9.00842862207058	0
2330	2706	AT1G27150	7.700439718141093	8.727920454563199	9.197216693110052	10.339850002884623	8.879583249612784	8.405141463136344	8.219168520462162	10.581200581924957	0
2332	2708	AT1G27170	6.7414669864011465	6.475733430966398	6.918863237274595	4.954196310386875	7.7142455176661215	5.754887502163467	5.584962500721158	5.78135971352466	0
2333	2709	AT1G27180	7.554588851677637	8.184875342908283	8.312882955284357	7.569855608330947	8.361943773735241	7.357552004618085	7.417852514885897	7.74819284958946	0
2334	2710	AT1G27190	8.758223214726723	9.344295907915816	9.894817763307943	8.479780264029099	9.805743872151616	9.022367813028454	8.714245517666122	8.965784284662089	0
2335	2711	AT1G27200	8.335390354693924	8.044394119358454	9.197216693110052	9.113742166049187	9.383704292474054	8.800899899920305	7.839203788096943	9.262094845370179	0
2336	2712	AT1G27210	7.257387842692652	6.906890595608518	7.7414669864011465	8.353146825498081	7.74819284958946	6.845490050944375	7.066089190457772	7.807354922057604	0
2337	2719	AT1G27290	8.778077129535358	9.503825737995749	9.569855608330947	10.462502272597265	9.927777962082342	8.945443836377912	8.413627929024173	10.722807531169547	0
2338	2720	AT1G27300	6.507794640198697	7.7414669864011465	8.103287808412023	10.353146825498083	8.219168520462162	7.383704292474053	7.066089190457772	10.519636252843213	0
2339	2721	AT1G27310	8.696967526234287	8.78135971352466	9.871905237659186	10.4757334309664	9.842350343413807	8.857980995127571	8.103287808412023	10.608254821977908	0
2340	2722	AT1G27320	10.572700226487294	10.689124404913258	11.873059547661473	11.912889336229961	11.560332834212446	11.017504401109417	9.926295994781114	12.154501693864765	0
